ma_sv,ho_ten,gioi_tinh,nganh_hoc,gpa,so_tin_chi,que_quan,khoang_cach_km
SV01,Nguyễn Văn An,Nam,CNTT,3.45,18,Hà Nội,4.5
SV02,Trần Thị Bình,Nữ,KTPM,3.8,20,Bắc Ninh,12.0
SV03,Lê Quốc Cường,Nam,KHMT,2.75,16,Hải Phòng,8.5
SV04,Phạm Hải Đăng,Nam,CNTT,3.2,18,Nam Định,3.0
SV05,Hoàng Mai Hoa,Nữ,DTVT,3.65,21,Hà Nội,15.2
SV06,Đỗ Minh Khang,Nam,KTPM,2.9,15,Thái Bình,6.0
SV07,Vũ Thùy Linh,Nữ,KHMT,3.9,22,Hà Nội,2.5
SV08,Bùi Quang Minh,Nam,CNTT,3.15,17,Nghệ An,25.0
SV09,Đặng Phương Nga,Nữ,DTVT,3.35,19,Quảng Ninh,7.8
SV10,Ngô Bảo Phúc,Nam,KHMT,2.85,16,Hà Nam,11.4
